Major,Category
econ,Math
cs,Engineering
accounting,Math
bio,Science
env studies,Science
me,Engineering
religious studies,Humanities
geophysics,Science
math,Math
comm,Humanities
history,Humanities
english,Humanities
physics,Science
biopsych,Science
global liberal studies,Humanities
ce,Engineering
psych and brain sciences,Science
econ and accounting,Math
culinary,Humanities
chicano studies,Humanities
stats,Math
biochem,Science
actuarial science,Math
chem,Science
undeclared,Other
ccs,Other
math and stats,Math
psych,Science
microbio,Science
ee,Engineering
global studies,Humanities
chem eng,Engineering
philosophy,Humanities
gis,Science
poli sci,Humanities
linguistics,Humanities
global,Humanities
undecided,Other
es,Science
financial math & stats,Math
film and media studies,Humanities
earth science,Science
none given,Other
actuarial science ,Math
ecology and evolution,Science
ece,Engineering
music composition,Humanities
environmental studies,Science
chem e,Engineering
NA,Other
mes,Engineering
anthro,Humanities
psychology,Science
sociology,Humanities
asian studies,Humanities
pharmacology,Science
finance,Math
art,Other
